plotID,priority,Latitude,Longitude,elevation,slope,exposition,LNF_Code,Nutzungsid,LU1980,LU2000,LU2020,mgroup,P.Test.CO2.
LPWI03,MP7,46.57441703822603,9.923789300427238,1687,0,319,613,7856866130000j00,NA,WI,FALSE,CI,NA
LPOE05,MP7,46.582054943946616,9.9270162707702,1696,0,97,612,ANU1605745,NA,OE,TRUE,CE,NA
LPOE10,MP7,46.571869170782946,9.93665096516004,1723,50,243,617,ANU1605581,NA,OE,TRUE,CE,NA
LPWE03,MP7,46.574598434346754,9.938706019610263,1739,10,315,617,ANU1605567,NA,WE,TRUE,IE,NA
79/114,AP1,46.63954956485678,7.979993159876,1000,70,S,611,237798,Fettwiese,Extensiv genutzte Wiese,TRUE,EWi,NA
GM042,AP1,46.642093129084415,8.008152615667441,1436,40,160,611,725614,Basiphiler Magerrasen,Extensive genutzte Wiese,TRUE,EWi,NA
TM027,AP1,46.66610237387744,8.72215153729761,1839,15,90,611,ANU1953074,NA,Extensiv genutzte Wiese,TRUE,EWi,NA
NB1220,AP1,46.6639107338502,8.723432392448228,1720,58,SE,611,ANU1952928,NA,Extensiv genutzte Wiese,TRUE,EWi,NA
TM028,AP1,46.66996050471305,8.734999033633395,1599,10,30,611,ANU1952980,NA,Extensiv genutzte Wiese,TRUE,EWi,NA
TM110,AP1,46.67945942209554,8.748521114043294,1563,50,130,617,ANU1953058,NA,Extensiv genutzte Wiese,TRUE,EWi,NA
Gr076,AP1,46.637051869504525,7.975527750396597,910,13,S,613,207206,Fettwiese,Intensiv genutzte Wiese,FALSE,IWi,NA
GM004,AP1,46.63414697343004,7.981075260743676,902,2,180,613,217961,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
80/073,AP1,46.63602119460554,8.002681919489788,1070,30,S,613,217058,Fettweide,Intensiv Wiese,FALSE,IWi,NA
TM031,AP1,46.66949335958214,8.740463892620209,1510,40,110,613,98621526130000j00,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
TM029,AP1,46.67580949773549,8.742001677886613,1521,45,115,613,98621816130000j00,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
TM079,AP1,46.67377520997877,8.744449033236284,1459,17,150,613,98622216130000j00,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
TM060,AP1,46.67210588391493,8.747231797738907,1419,12,135,613,98622766130000j00,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
TM009,AP1,46.6800569987688,8.757555280651058,1475,18,140,613,98625006130000j00,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
TM053,AP1,46.67890433079464,8.782298099786244,1380,12,185,613,98627516130000j00,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
TM192,AP1,46.67868706837961,8.803612746197816,1236,5,140,613,98628176130000j00,NA,Intensiv genutzte Wiese,FALSE,IWi,NA
TM210,AP1,46.654989394557845,8.698146948454038,1757,67,135,617,ANU1952777,NA,Weide,TRUE,We,NA
NB1215,AP1,46.65947456860053,8.717904110608643,1555,25,SE,617,ANU1952880,NA,Weide,TRUE,We,NA
TM038,AP1,46.66124676768828,8.72191855297521,1550,40,135,616,9863686160000j00,NA,Weide,FALSE,We,NA
TM253,AP1,46.683395373006874,8.77527208052493,1475,40,200,617,ANU1952691,NA,Weide,TRUE,We,NA
79/323,AP2,46.633733418437565,7.97340534053496,970,30,N-NE,613,323468,Fettweide,Weide,FALSE,NA,NA
GM091,AP2,46.636716396183175,8.014769666917829,1210,25,210,613,211778,Fettweide,Weide,FALSE,NA,NA
GW005,AP2,46.632352610088425,8.042734677351906,1206,18,174,613,322028,Fettweide,Weide,FALSE,NA,NA
GM088,AP2,46.64370138284472,8.055230914484168,1440,65,160,613,323870,Basiphiler Magerrasen,Weide,FALSE,NA,NA
81/038,AP2,46.63117819817149,8.068577824437536,1200,45,W,611,879473,Fettweide,Weide,TRUE,NA,NA
Mr,AP2,46.68093465812545,8.749763707627496,1569.24,29.5184,NA,NA,NA,NA,Extensiv genutzte Wiese,NA,NA,NA
Fse,AP2,46.68423428876922,8.78243911167737,1460.0976,33.8224,NA,NA,NA,NA,Weide,NA,NA,NA
Wc,AP2,46.67711418735281,8.807623687861302,1329.72,25.0496,Nord,NA,NA,NA,Weide verbracht,NA,NA,NA
Wt,AP2,46.65191752645453,8.71159698027714,1584.7856,17.488,NA,NA,NA,NA,Weide verbracht,NA,NA,NA
GM034,AP3,46.645554016060416,8.0536584510762,1499,55,145,611,607544,NA,genutzte Wiese,TRUE,NA,NA
GM024,AP3,46.62846965718504,8.05556655761645,1116,20,250,613,222360,Fettweide,Wiese,FALSE,NA,NA
GM049,AP3,46.64387826026167,8.060758069650037,1488,75,255,611,239030,Basiphiler Magerrasen,genutzte Wiese,TRUE,NA,NA
TM144,AP3,46.67375520092131,8.735168549532977,1639,53,130,616,98621676160000j00,NA,Extensiv genutzte Wiese VERB.,FALSE,NA,NA
TM039,AP3,46.6696430874439,8.739957794114884,1523,35,90,613,98621446130000j00,NA,Extensiv genutzte Wiese,FALSE,NA,NA
79/416,MP2,46.63272734096865,7.9769213243886,950,40,NE,613,218183,Fettwiese,NA,TRUE,FWi,4.9
81/031,MP2,46.63501716541907,8.073846404674924,1290,30,S,613,228537,Fettwiese,NA,TRUE,FWi,5.3
81/033,MP3,46.63285149949083,8.041956702704667,1200,35,S,613,322030,Fettwiese,NA,TRUE,FWi,5
80/102,MP3,46.624745269083974,7.9906824167573,1350,50,E,611,236158,Fettwiese,NA,TRUE,FWi,4.8
Gr037,MP3,46.613577963604634,8.02907900108352,1060,0,-,611,312132,Fettwiese,NA,TRUE,FWi,3.2
81/028,MP2,46.61907884849436,7.990494052087135,1360,50,NE,613,649335,Fettwiese,NA,TRUE,FWi,9.7
81/058,MP2,46.62336791324175,8.032058338654721,1010,20,S,613,210157,Fettwiese,NA,TRUE,FWi,10.8
81/032,MP3,46.61685148177994,8.004440382903109,1160,30,N,613,608307,Fettwiese,NA,TRUE,FWi,11.1
79/424,MP3,46.6163141954144,8.021798010253567,1070,20,N,613,332288,Fettwiese,NA,TRUE,FWi,9
Gr073,MP3,46.6278148375882,8.041769951160056,1010,5,S,613,760026,Fettwiese,NA,TRUE,FWi,9.2
80/045,MP2,46.62068024881533,7.994166092574778,1270,25,NE,613,828010,Fettwiese,NA,TRUE,FWi,6.5
81/069,MP2,46.645306967749676,8.016624562297563,1430,30,SW,613,982189,Fettwiese,NA,TRUE,FWi,7.2
80/001,MP3,46.6426083822805,8.016595723443034,1420,30,SSE,613,218665,Fettwiese,NA,TRUE,FWi,6.5
