"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
58;"Brachythecium glareosum";"M";"Brachythecium";"glareosum";"NISM";"3";"II";"";"";"3";"II";"Be Gl";"I";"2";"II";"4";"II";"";"";"";"";"";"D.n";"-";"di";"p";"He";"eK";"II";3;"";"";""
59;"Brachythecium laetum";"M";"Brachythecium";"laetum";"NISM";"x";"-";"2";"II";"2";"I";"Gf Be";"I";"3";"I";"5";"I";"";"";"";"";"";"D.n";"-";"di";"m";"He";"gG";"II";1;"";"";""
60;"Brachythecium mildeanum";"M";"Brachythecium";"mildeanum";"NISM";"3";"II";"";"";"4";"I";"Be Pk";"I";"4";"I";"5";"I";"";"";"";"";"";"D.n";"-";"m/d";"p";"He";"eM";"II";3;"";"";""
61;"Brachythecium plumosum";"M";"Brachythecium";"plumosum";"NISM";"3";"II";"3";"I";"2";"II";"Gf Be";"I";"4";"II";"2";"II";"1";"I";"3";"II";"";"Ü.n";"-";"aut";"m";"He-Fr";"gH";"II";1;"";"";""
62;"Brachythecium populeum";"M";"Brachythecium";"populeum";"NISM";"3";"II";"3";"II";"2";"II";"Gf Pr";"II";"3";"II";"x";"-";"1";"II";"";"";"";"Ü.n";"-";"aut";"m";"Wi-Fr";"gH";"I";3;"";"";""
63;"Brachythecium reflexum";"M";"Brachythecium";"reflexum";"NISM";"2";"II";"3";"I";"2";"II";"Be Gf";"II";"3";"II";"2";"II";"3";"II";"3";"II";"";"Ü.n";"-";"aut";"m";"Wi";"gH";"II";1;"";"";""
64;"Brachythecium rutabulum aggr.";"M";"Brachythecium";"rutabulum aggr.";"";"3";"II";"3";"II";"2";"II";"Be Gf";"II";"3";"II";"x";"-";"5";"II";"x";"-";"";"D.n";"-";"m/d";"c";"He-Fr";"gH";"II";3;"";"";""
65;"Brachythecium salebrosum aggr.";"M";"Brachythecium";"salebrosum aggr.";"";"3";"II";"3";"II";"2";"II";"Be Ph";"II";"3";"I";"3";"II";"3";"II";"5";"I";"";"D.n";"-";"aut";"m";"Wi-Fr";"gH";"II";3;"";"";"tax"
66;"Brachythecium starkei aggr.";"M";"Brachythecium";"starkei aggr.";"";"2";"II";"";"";"2";"I";"Bh Be";"II";"3";"I";"2";"II";"";"";"";"";"";"Ü.n";"-";"aut";"c";"Wi";"gH";"II";1;"";"";"tax"
67;"Brachythecium trachypodium";"M";"Brachythecium";"trachypodium";"NISM";"1";"I";"";"";"1";"II";"Gf Bg";"II";"3";"I";"4";"II";"";"";"";"";"";"Ü.n";"-";"mo";"m";"So-He";"eG";"II";1;"";"VU";""
68;"Brachythecium velutinum";"M";"Brachythecium";"velutinum";"NISM";"3";"II";"3";"II";"2";"II";"Be Ph";"II";"3";"II";"x";"-";"3";"II";"3";"II";"";"Ü.n";"-";"m/d";"c";"Wi-Fr";"gH";"I";3;"";"";""
