"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
325;"Leptodon smithii";"M";"Leptodon";"smithii";"NISM";"5";"II";"1";"II";"5";"II";"Gf";"I";"2";"I";"x";"-";"";"";"";"";"";"B.n";"-";"di";"p";"Fr";"eG";"II";3;"";"VU";""
326;"Lescuraea mutabilis aggr.";"M";"Lescuraea";"mutabilis aggr.";"";"1";"II";"";"";"3";"II";"Gf Pr";"I";"2";"II";"2";"II";"";"";"";"";"";"D.n";"-";"di";"c";"Fr-So";"eG";"II";1;"";"";""
327;"Leskea polycarpa";"M";"Leskea";"polycarpa";"NISM";"4";"II";"";"";"2";"II";"Pr Gf";"I";"3";"II";"x";"-";"";"";"";"";"";"Ü.e";"-";"aut";"c";"So";"gH";"II";1;"";"";""
328;"Leucobryum glaucum aggr.";"M";"Leucobryum";"glaucum aggr.";"";"4";"II";"3";"I";"2";"II";"Be Bh";"II";"3";"II";"2";"I";"1";"I";"5";"I";"";"P.n";"-";"di";"p";"He";"gH";"II";1;"";"";""
329;"Leucodon sciuroides";"M";"Leucodon";"sciuroides";"NISM";"4";"II";"3";"II";"4";"II";"Pr Gf";"I";"2";"II";"x";"-";"1";"I";"";"";"";"D.n";"Bs";"di";"m";"Fr";"gH";"II";3;"";"";""
330;"Lophocolea bidentata";"H";"Lophocolea";"bidentata";"NISM";"3";"II";"3";"I";"3";"II";"Be Ph";"II";"3";"II";"3";"II";"3";"II";"3";"I";"";"Ü.n";"-";"m/d";"p";"Fr-So";"gH";"II";3;"";"";""
331;"Lophocolea heterophylla aggr.";"H";"Lophocolea";"heterophylla aggr.";"";"3";"II";"3";"II";"2";"II";"Ph Be";"II";"3";"II";"2";"II";"3";"II";"5";"I";"";"Ü.n";"Bk";"par";"c";"Fr-Wi";"gH";"II";3;"<";"";""
332;"Lophozia bicrenata";"H";"Lophozia";"bicrenata";"NISM";"3";"II";"";"";"4";"II";"Be Bg";"I";"2";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"mo";"c";"Fr-Wi";"gH";"II";3;"";"VU";""
333;"Lophozia capitata aggr.";"H";"Lophozia";"capitata aggr.";"";"3";"II";"2";"II";"4";"II";"Pm";"I";"4";"I";"1";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"-";"";"eM";"II";1;"";"EN";""
334;"Lophozia decolorans";"H";"Lophozia";"decolorans";"NISM";"1";"I";"3";"II";"5";"II";"Bg Be";"I";"2";"I";"2";"II";"1";"I";"1";"I";"";"Ü.n";"Bk";"di";"m";"He";"eG";"II";1;"";"";""
335;"Lophozia excisa";"H";"Lophozia";"excisa";"NISM";"3";"II";"";"";"3";"II";"Be Gf";"II";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"par";"c";"Fr-Wi";"gH";"II";1;"";"";""
336;"Lophozia grandiretis";"H";"Lophozia";"grandiretis";"NISM";"1";"I";"4";"II";"3";"II";"Bh Be";"I";"4";"I";"3";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"?";"gH";"II";1;"";"VU";""
337;"Lophozia incisa aggr.";"H";"Lophozia";"incisa aggr.";"";"1";"II";"2";"I";"3";"II";"Ph Be";"II";"4";"II";"2";"I";"1";"I";"3";"II";"";"Ü.n";"Bk";"di";"c";"So";"gH";"II";1;"";"";""
338;"Lophozia obtusa";"H";"Lophozia";"obtusa";"NISM";"2";"I";"2";"I";"2";"I";"Bh Be";"II";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"?";"gH";"II";3;"";"";"tax"
339;"Lophozia sudetica";"H";"Lophozia";"sudetica";"NISM";"1";"II";"";"";"4";"II";"Be Gf";"I";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"He";"eG";"II";3;"";"";""
340;"Lophozia ventricosa aggr.";"H";"Lophozia";"ventricosa aggr.";"";"2";"II";"";"";"2";"II";"Be Ph";"II";"3";"I";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"m";"Wi-He";"gH";"II";1;"";"";"tax"
341;"Lophozia wenzelii";"H";"Lophozia";"wenzelii";"NISM";"1";"II";"";"";"4";"I";"Be Gl";"II";"5";"I";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"?";"eK";"II";1;"";"";"tax"
342;"Lunularia cruciata";"H";"Lunularia";"cruciata";"NISM";"4";"I";"3";"II";"2";"II";"Be Gl";"I";"3";"II";"4";"II";"5";"I";"3";"II";"";"T.n";"Bk";"di";"-";"";"gH";"II";5;"";"";"neo"
343;"Mannia androgyna";"H";"Mannia";"androgyna";"NISM";"5";"I";"";"";"5";"II";"Be";"I";"1";"I";"2";"I";"";"";"";"";"";"T.n";"-";"m/d";"m";"?";"eK";"II";1;"";"CR";""
344;"Marchantia polymorpha";"H";"Marchantia";"polymorpha";"NISM";"x";"-";"3";"II";"3";"II";"Be Gl";"II";"4";"II";"4";"II";"5";"I";"3";"II";"";"T.n";"Bk";"di";"m";"So";"gH";"II";3;"";"";""
345;"Marsupella boeckii";"H";"Marsupella";"boeckii";"NISM";"1";"I";"";"";"3";"II";"Gf";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"-";"";"gG";"I";1;"";"VU";""
346;"Marsupella brevissima aggr.";"H";"Marsupella";"brevissima aggr.";"";"1";"I";"";"";"4";"I";"Be Gf";"II";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"mo";"c";"Fr-He";"eS";"II";1;"";"(VU)";"tax"
347;"Marsupella emarginata";"H";"Marsupella";"emarginata";"NISM";"2";"II";"3";"II";"3";"II";"Gf Be";"I";"4";"II";"2";"I";"1";"II";"1";"II";"";"R.n";"-";"di";"m";"Fr";"gG";"II";1;"";"";""
348;"Marsupella funckii";"H";"Marsupella";"funckii";"NISM";"2";"II";"";"";"4";"II";"Be Gf";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"m";"Fr-So";"gH";"II";3;"";"";""
349;"Marsupella sphacelata";"H";"Marsupella";"sphacelata";"NISM";"1";"II";"";"";"3";"II";"Gf Be";"I";"4";"II";"2";"I";"";"";"";"";"";"R.n";"-";"di";"p";"Fr-So";"eU";"II";1;"";"";""
350;"Marsupella sprucei";"H";"Marsupella";"sprucei";"NISM";"1";"II";"2";"II";"3";"II";"Be Gf";"I";"3";"II";"2";"I";"1";"I";"3";"II";"";"R.n";"-";"par";"m";"So-He";"eG";"II";1;"";"";"tax"
351;"Meesia triquetra";"M";"Meesia";"triquetra";"NISM";"3";"II";"";"";"4";"I";"Bt Be";"I";"5";"I";"x";"-";"";"";"";"";"";"R.n";"-";"di";"m";"So";"eM";"I";3;"";"RE";""
352;"Meesia uliginosa";"M";"Meesia";"uliginosa";"NISM";"1";"II";"3";"II";"4";"II";"Be Gl";"II";"4";"I";"5";"II";"1";"I";"1";"II";"";"R.n";"-";"mo";"c";"So";"gK";"II";1;"";"";""
353;"Metzgeria conjugata";"H";"Metzgeria";"conjugata";"NISM";"4";"II";"3";"II";"2";"II";"Pr Gf";"II";"3";"I";"2";"I";"1";"II";"";"";"";"T.n";"-";"aut";"m";"Fr-He";"gH";"I";1;"";"";""
354;"Metzgeria furcata";"H";"Metzgeria";"furcata";"NISM";"3";"II";"3";"II";"1";"II";"Pr Ph";"II";"3";"II";"2";"I";"1";"I";"";"";"";"T.e";"Bt";"di";"m";"Fr-Wi";"gH";"I";1;"=";"";""
355;"Metzgeria violacea aggr.";"H";"Metzgeria";"violacea aggr.";"";"4";"I";"2";"I";"x";"-";"Pr";"I";"3";"II";"2";"I";"1";"I";"";"";"";"T.e";"Bk";"di";"-";"";"gH";"I";1;"";"";""
356;"Microlejeunea ulicina";"H";"Microlejeunea";"ulicina";"NISM";"4";"I";"2";"I";"1";"I";"Pr Pm";"I";"3";"I";"2";"I";"1";"I";"";"";"";"Ü.n";"-";"di";"-";"";"gH";"I";1;"";"";""
357;"Mielichhoferia elongata aggr.";"M";"Mielichhoferia";"elongata aggr.";"";"2";"II";"3";"I";"3";"II";"Gf Bg";"I";"3";"II";"2";"I";"1";"I";"1";"II";"M";"R.n";"-";"di";"m";"So";"gG";"II";1;"";"VU";""
358;"Mnium hornum";"M";"Mnium";"hornum";"NISM";"4";"II";"2";"I";"1";"I";"Be Ph";"II";"3";"I";"x";"-";"";"";"";"";"";"R.n";"-";"di";"-";"";"gH";"I";1;"";"";""
359;"Mnium marginatum";"M";"Mnium";"marginatum";"NISM";"3";"II";"";"";"2";"I";"Be Gf";"I";"3";"I";"x";"-";"";"";"";"";"";"R.n";"-";"syn";"c";"Fr";"gH";"II";3;"";"";""
360;"Mnium spinosum aggr.";"M";"Mnium";"spinosum aggr.";"";"2";"II";"";"";"2";"I";"Be Bh";"II";"3";"II";"x";"-";"";"";"";"";"";"R.n";"-";"m/d";"m";"Fr-Wi";"gH";"II";1;"";"";""
361;"Mnium stellare";"M";"Mnium";"stellare";"NISM";"3";"II";"";"";"1";"I";"Gf Be";"II";"3";"I";"4";"II";"";"";"";"";"";"R.n";"-";"di";"p";"Fr-So";"gH";"II";1;"";"";""
362;"Mnium thomsonii";"M";"Mnium";"thomsonii";"NISM";"3";"II";"3";"II";"2";"II";"Gf Be";"I";"3";"II";"4";"II";"1";"II";"3";"II";"";"R.n";"-";"di";"p";"So";"gH";"II";1;"";"";""
363;"Moerckia blyttii";"H";"Moerckia";"blyttii";"NISM";"1";"II";"x";"-";"4";"I";"Be Bh";"II";"4";"II";"2";"I";"";"";"";"";"";"T.n";"-";"di";"p";"So";"gK";"II";1;"";"";""
364;"Moerckia hibernica";"H";"Moerckia";"hibernica";"NISM";"3";"I";"2";"II";"3";"II";"Gf Be";"I";"4";"I";"2";"I";"";"";"";"";"";"T.n";"-";"di";"c";"Fr";"gH";"II";1;"";"EN";""
365;"Mylia anomala";"H";"Mylia";"anomala";"NISM";"3";"II";"3";"I";"3";"II";"Bt Pm";"I";"4";"I";"1";"I";"1";"I";"5";"I";"";"Ü.n";"Bk";"di";"p";"So";"eM";"II";1;"";"";""
366;"Mylia taylorii";"H";"Mylia";"taylorii";"NISM";"3";"I";"2";"II";"2";"II";"Gf Ph";"II";"4";"I";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So";"eG";"II";1;"";"VU";""
367;"Myurella julacea";"M";"Myurella";"julacea";"NISM";"1";"II";"3";"I";"3";"II";"Gf Be";"I";"3";"I";"4";"II";"1";"I";"5";"I";"";"Ü.n";"Bk";"di";"p";"So";"gG";"II";3;"";"";""
368;"Myurella tenerrima";"M";"Myurella";"tenerrima";"NISM";"2";"I";"";"";"3";"II";"Be Gf";"I";"3";"I";"x";"-";"";"";"";"";"";"Ü.n";"-";"di";"p";"?";"gG";"II";1;"";"";""
369;"Nardia breidleri";"H";"Nardia";"breidleri";"NISM";"1";"I";"";"";"4";"II";"Bg Be";"II";"4";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"di";"m";"So";"eS";"II";1;"";"VU";""
370;"Nardia compressa";"H";"Nardia";"compressa";"NISM";"1";"II";"2";"I";"4";"I";"Gf Bt";"II";"5";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"di";"p";"Fr-So";"eQ";"II";1;"";"";""
371;"Nardia geoscyphus";"H";"Nardia";"geoscyphus";"NISM";"1";"II";"2";"II";"4";"II";"Be Gl";"I";"3";"I";"3";"I";"1";"I";"3";"II";"";"Ü.n";"-";"par";"c";"Fr-So";"eK";"II";1;"";"";""
372;"Nardia insecta";"H";"Nardia";"insecta";"NISM";"2";"I";"";"";"2";"II";"Be";"";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"par";"c";"So-He";"gH";"II";1;"";"VU";""
373;"Nardia scalaris";"H";"Nardia";"scalaris";"NISM";"1";"II";"";"";"3";"II";"Be Bg";"II";"3";"I";"2";"I";"";"";"";"";"";"Ü.r";"-";"di";"c";"Fr";"eK";"II";3;"";"";""
374;"Neckera complanata";"M";"Neckera";"complanata";"NISM";"4";"II";"";"";"2";"I";"Pr Gf";"I";"3";"I";"x";"-";"";"";"";"";"";"D.n";"-";"di";"p";"Fr";"gH";"I";1;"";"";""
375;"Neckera crispa";"M";"Neckera";"crispa";"NISM";"3";"II";"2";"I";"2";"II";"Gf Pr";"I";"3";"II";"4";"I";"1";"I";"";"";"";"D.n";"-";"di";"m";"Wi";"gH";"I";1;"";"";""
376;"Nowellia curvifolia";"H";"Nowellia";"curvifolia";"NISM";"3";"I";"2";"I";"1";"II";"Ph";"I";"3";"I";"2";"I";"1";"II";"";"";"";"Ü.n";"-";"m/d";"m";"Fr";"gH";"I";1;"";"";""
377;"Odontoschisma denudatum aggr.";"H";"Odontoschisma";"denudatum aggr.";"";"3";"II";"";"";"3";"II";"Bt Ph";"I";"4";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"-";"";"eM";"II";1;"";"";"tax"
378;"Odontoschisma macounii";"H";"Odontoschisma";"macounii";"NISM";"2";"I";"2";"I";"3";"II";"Bh Be";"I";"3";"II";"2";"I";"";"";"";"";"";"P.n";"Bk";"di";"-";"";"gG";"II";1;"";"VU";""
379;"Odontoschisma sphagni";"H";"Odontoschisma";"sphagni";"NISM";"3";"I";"2";"II";"4";"I";"Pm";"";"4";"II";"1";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So";"eM";"I";1;"";"VU";"tax"
380;"Oligotrichum hercynicum";"M";"Oligotrichum";"hercynicum";"NISM";"1";"II";"3";"I";"4";"II";"Be Bg";"I";"3";"I";"1";"II";"1";"I";"1";"I";"";"R.n";"-";"di";"m";"So";"eK";"II";3;"";"";""
381;"Oncophorus virens";"M";"Oncophorus";"virens";"NISM";"1";"II";"3";"I";"4";"II";"Be Gl";"II";"5";"II";"3";"II";"";"";"";"";"";"R.n";"-";"aut";"m";"So";"eU";"II";1;"";"";""
382;"Orthothecium intricatum";"M";"Orthothecium";"intricatum";"NISM";"3";"II";"3";"I";"2";"II";"Gf Be";"I";"3";"I";"4";"II";"1";"II";"1";"II";"";"Ü.n";"-";"di";"p";"So";"gH";"II";1;"";"";""
383;"Orthothecium rufescens";"M";"Orthothecium";"rufescens";"NISM";"3";"II";"3";"I";"3";"II";"Gf";"I";"4";"II";"5";"I";"1";"I";"";"";"";"D.n";"-";"di";"m";"So";"gH";"II";1;"";"";""
384;"Orthotrichum affine";"M";"Orthotrichum";"affine";"NISM";"4";"II";"3";"I";"3";"II";"Pr";"I";"2";"II";"2";"I";"1";"I";"";"";"";"P.e";"Bk";"aut";"m";"So";"gH";"II";3;"";"";"tax"
385;"Orthotrichum alpestre";"M";"Orthotrichum";"alpestre";"NISM";"2";"II";"";"";"2";"I";"Gf Pr";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"-";"mo";"m";"So";"gH";"II";1;"";"EN";"tax"
386;"Orthotrichum anomalum";"M";"Orthotrichum";"anomalum";"NISM";"4";"II";"3";"I";"4";"II";"Gf";"I";"2";"II";"x";"-";"3";"I";"";"";"";"P.n";"-";"mo";"c";"Fr";"eG";"II";3;"";"";"tax"
387;"Orthotrichum cupulatum";"M";"Orthotrichum";"cupulatum";"NISM";"3";"II";"x";"-";"3";"II";"Gf";"I";"2";"II";"5";"I";"";"";"";"";"";"P.n";"-";"aut";"m";"Fr-So";"gH";"II";1;"";"";"tax"
388;"Orthotrichum diaphanum";"M";"Orthotrichum";"diaphanum";"NISM";"4";"II";"2";"I";"3";"II";"Pr Gf";"I";"2";"II";"4";"II";"5";"II";"";"";"";"D.n";"Bk";"aut";"c";"Fr";"gH";"II";5;">";"";""
389;"Orthotrichum laevigatum";"M";"Orthotrichum";"laevigatum";"NISM";"2";"";"";"";"3";"";"Gf";"";"2";"";"2";"";"";"";"";"";"";"R.n";"-";"mo";"m";"?";"eG";"";5;"";"VU";"tax"
390;"Orthotrichum lyellii";"M";"Orthotrichum";"lyellii";"NISM";"3";"I";"2";"I";"3";"II";"Pr";"I";"3";"II";"2";"II";"1";"I";"";"";"";"R.n";"Bk";"di";"p";"So";"gH";"I";1;"<";"";""
391;"Orthotrichum obtusifolium";"M";"Orthotrichum";"obtusifolium";"NISM";"4";"II";"";"";"3";"II";"Pr";"I";"2";"I";"2";"I";"";"";"";"";"";"R.e";"Bk";"di";"m";"Fr";"gH";"II";3;"";"";""
392;"Orthotrichum pumilum aggr.";"M";"Orthotrichum";"pumilum aggr.";"";"3";"II";"";"";"2";"II";"Pr Ph";"I";"2";"I";"2";"I";"";"";"";"";"";"P.e";"(Bk)";"mo";"m";"Fr-So";"gH";"II";3;"";"";""
393;"Orthotrichum rupestre";"M";"Orthotrichum";"rupestre";"NISM";"3";"II";"";"";"2";"I";"Gf Pr";"I";"2";"I";"2";"I";"";"";"";"";"";"R.n";"-";"aut";"m";"Fr-So";"gH";"I";1;"";"";"tax"
394;"Orthotrichum speciosum";"M";"Orthotrichum";"speciosum";"NISM";"3";"II";"";"";"2";"II";"Pr";"I";"2";"I";"2";"I";"";"";"";"";"";"R.e";"-";"aut";"m";"So";"gH";"II";1;"";"";"tax"
395;"Orthotrichum stramineum";"M";"Orthotrichum";"stramineum";"NISM";"3";"I";"2";"I";"3";"II";"Pr";"I";"2";"I";"2";"I";"";"";"";"";"";"P.e";"-";"aut";"m";"Fr-So";"gH";"II";1;"";"";"tax"
396;"Orthotrichum striatum";"M";"Orthotrichum";"striatum";"NISM";"3";"II";"";"";"2";"II";"Pr";"I";"2";"I";"2";"I";"";"";"";"";"";"R.e";"-";"aut";"m";"Fr";"gH";"II";1;"";"";"tax"
397;"Oxystegus tenuirostris";"M";"Oxystegus";"tenuirostris";"NISM";"3";"II";"2";"I";"2";"II";"Be Gf";"I";"3";"II";"3";"II";"1";"I";"3";"II";"";"R.n";"Bk";"di";"m";"He";"gH";"II";1;"";"";""
398;"Paludella squarrosa";"M";"Paludella";"squarrosa";"NISM";"2";"I";"";"";"4";"I";"Bt Be";"II";"5";"II";"x";"-";"1";"I";"";"";"";"R.n";"-";"di";"-";"";"eM";"I";1;"";"VU";""
399;"Palustriella commutata aggr.";"M";"Palustriella";"commutata aggr.";"";"3";"II";"3";"II";"3";"II";"Be Gf";"II";"5";"I";"5";"I";"1";"II";"3";"II";"";"D.t";"-";"di";"m";"Fr-So";"eQ";"II";3;"";"";""
400;"Palustriella decipiens";"M";"Palustriella";"decipiens";"NISM";"2";"II";"";"";"4";"II";"Be Bh";"I";"4";"I";"3";"II";"";"";"";"";"";"D.n";"-";"di";"p";"So";"eQ";"II";1;"";"";""
401;"Paraleucobryum enerve";"M";"Paraleucobryum";"enerve";"NISM";"1";"I";"";"";"4";"II";"Be Bh";"II";"2";"I";"2";"II";"";"";"";"";"";"P.n";"-";"di";"p";"So";"gH";"II";3;"";"";""
402;"Paraleucobryum longifolium aggr.";"M";"Paraleucobryum";"longifolium aggr.";"";"3";"II";"";"";"2";"I";"Gf Pr";"I";"3";"II";"2";"I";"";"";"";"";"";"R.n";"-";"di";"m";"So";"gH";"I";1;"";"";""
403;"Pedinophyllum interruptum";"H";"Pedinophyllum";"interruptum";"NISM";"3";"II";"";"";"1";"II";"Gf Be";"I";"3";"II";"5";"II";"3";"II";"3";"II";"";"Ü.n";"-";"aut";"m";"Fr";"gH";"II";1;"";"";""
404;"Pellia endiviifolia";"H";"Pellia";"endiviifolia";"NISM";"3";"II";"3";"II";"2";"II";"Be Gf";"II";"4";"II";"4";"II";"3";"II";"3";"II";"L";"T.n";"Bt";"di";"m";"Fr-So";"gH";"I";1;"";"";""
405;"Pellia epiphylla aggr.";"H";"Pellia";"epiphylla aggr.";"";"3";"II";"3";"II";"2";"II";"Be Bt";"I";"4";"II";"2";"I";"3";"II";"1";"II";"L";"T.n";"-";"m/d";"c";"Fr";"gH";"II";1;"";"";""
406;"Peltolepis quadrata";"H";"Peltolepis";"quadrata";"NISM";"1";"I";"2";"II";"2";"II";"Be Gf";"I";"3";"I";"4";"II";"3";"I";"1";"II";"";"T.n";"-";"aut";"m";"He";"gG";"I";1;"";"EN";""
407;"Phaeoceros laevis aggr.";"A";"Phaeoceros";"laevis aggr.";"";"4";"I";"2";"I";"4";"II";"Be";"I";"3";"II";"3";"II";"";"";"";"";"";"T.kr";"-";"mo";"c";"So-He";"eE";"II";5;">";"EN";""
408;"Phascum cuspidatum";"M";"Phascum";"cuspidatum";"NISM";"4";"II";"3";"I";"4";"I";"Be";"I";"2";"II";"x";"-";"5";"II";"1";"I";"L";"G.k";"-";"mo";"c";"Fr";"eE";"II";3;"";"";""
409;"Philonotis calcarea";"M";"Philonotis";"calcarea";"NISM";"3";"II";"";"";"3";"II";"Be Bt";"I";"5";"I";"5";"I";"";"";"";"";"";"R.n";"Bs";"di";"m";"Fr-So";"eQ";"II";1;"";"";""
410;"Philonotis fontana aggr.";"M";"Philonotis";"fontana aggr.";"";"1";"II";"";"";"4";"I";"Be Bg";"II";"5";"II";"x";"-";"";"";"";"";"";"R.n";"Bs";"di";"p";"Fr-He";"eQ";"I";1;"";"";"tax"
411;"Philonotis seriata";"M";"Philonotis";"seriata";"NISM";"1";"II";"4";"II";"4";"I";"Be Bh";"II";"4";"II";"x";"-";"";"";"";"";"";"R.n";"-";"di";"p";"So";"eQ";"I";1;"";"";""
412;"Physcomitrium eurystomum";"M";"Physcomitrium";"eurystomum";"NISM";"4";"I";"";"";"4";"II";"Be";"I";"4";"I";"5";"I";"";"";"";"";"L";"R.k";"-";"di";"c";"He-Wi";"eU";"II";3;"";"VU";""
413;"Physcomitrium patens";"M";"Physcomitrium";"patens";"NISM";"4";"I";"";"";"4";"II";"Be Bs";"I";"4";"I";"x";"-";"";"";"";"";"L";"R.k";"-";"mo";"c";"So-He";"eU";"II";3;"";"VU";""
414;"Physcomitrium pyriforme";"M";"Physcomitrium";"pyriforme";"NISM";"4";"I";"";"";"4";"I";"Be";"I";"4";"II";"5";"I";"3";"II";"1";"I";"";"R.kr";"-";"aut";"c";"Fr";"eK";"II";3;"";"";""
415;"Plagiobryum demissum";"M";"Plagiobryum";"demissum";"NISM";"1";"I";"";"";"4";"I";"Be Bh";"I";"2";"I";"x";"-";"";"";"";"";"";"R.n";"-";"di";"m";"So";"eK";"II";1;"";"CR";""
416;"Plagiobryum zieri";"M";"Plagiobryum";"zieri";"NISM";"3";"II";"";"";"1";"II";"Gf";"I";"4";"II";"x";"-";"1";"I";"";"";"";"R.n";"-";"di";"m";"So-He";"gH";"II";1;"";"";""
417;"Plagiochila asplenioides aggr.";"H";"Plagiochila";"asplenioides aggr.";"";"3";"II";"3";"II";"2";"II";"Be Gf";"II";"3";"II";"3";"II";"3";"II";"x";"-";"";"Ü.n";"-";"di";"m";"Fr-So";"gH";"I";1;"";"(VU)";""
418;"Plagiochila exigua";"H";"Plagiochila";"exigua";"NISM";"4";"I";"1";"I";"1";"II";"Gf Pm";"I";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"di";"-";"";"gH";"II";1;"";"VU";""
419;"Plagiomnium affine aggr.";"M";"Plagiomnium";"affine aggr.";"";"3";"II";"";"";"2";"II";"Be Bh";"I";"4";"II";"x";"-";"";"";"";"";"";"R.n";"-";"m/d";"p";"Fr-So";"gH";"II";3;"";"";""
420;"Plagiomnium cuspidatum";"M";"Plagiomnium";"cuspidatum";"NISM";"3";"II";"";"";"2";"II";"Be Gf";"II";"3";"I";"3";"II";"";"";"";"";"";"R.n";"-";"syn";"m";"Fr";"gH";"II";3;"";"";""
421;"Plagiomnium rostratum";"M";"Plagiomnium";"rostratum";"NISM";"3";"I";"3";"I";"1";"II";"Be Gf";"II";"3";"I";"4";"II";"3";"I";"3";"II";"";"R.n";"-";"syn";"c";"Fr-So";"gH";"II";3;"";"";""
422;"Plagiomnium undulatum";"M";"Plagiomnium";"undulatum";"NISM";"3";"I";"2";"I";"2";"II";"Be";"I";"3";"II";"x";"-";"5";"II";"3";"II";"";"B.n";"-";"di";"p";"Fr-So";"gH";"II";3;"";"";""
423;"Plagiopus oederianus";"M";"Plagiopus";"oederianus";"NISM";"3";"II";"3";"I";"2";"II";"Gf Be";"I";"3";"I";"x";"-";"1";"I";"1";"II";"";"P.n";"-";"syn";"c";"So";"gH";"II";1;"";"";""
424;"Plagiothecium cavifolium aggr.";"M";"Plagiothecium";"cavifolium aggr.";"";"3";"II";"";"";"1";"II";"Be Ph";"II";"3";"I";"2";"II";"";"";"";"";"";"D.n";"Bk";"m/d";"m";"So";"gH";"I";1;"";"";""
425;"Plagiothecium denticulatum";"M";"Plagiothecium";"denticulatum";"NISM";"3";"II";"3";"I";"2";"II";"Be Ph";"II";"3";"I";"2";"I";"1";"I";"3";"II";"";"Ü.n";"-";"aut";"c";"Fr-So";"gH";"I";1;"";"(VU)";"tax"
426;"Plagiothecium laetum";"M";"Plagiothecium";"laetum";"NISM";"3";"II";"3";"I";"2";"I";"Be Ph";"II";"3";"II";"2";"II";"1";"I";"5";"II";"";"Ü.n";"-";"aut";"c";"So";"gH";"I";1;"";"";"tax"
427;"Plagiothecium undulatum";"M";"Plagiothecium";"undulatum";"NISM";"3";"I";"2";"I";"1";"II";"Be Bh";"I";"3";"II";"2";"II";"1";"I";"3";"II";"";"D.n";"-";"di";"p";"So";"gH";"I";1;"";"";""
428;"Platydictya jungermannioides";"M";"Platydictya";"jungermannioides";"NISM";"2";"II";"";"";"2";"II";"Gf Be";"I";"4";"II";"5";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So";"gH";"II";1;"";"";""
429;"Platygyrium repens";"M";"Platygyrium";"repens";"NISM";"4";"II";"2";"I";"3";"II";"Pr Ph";"I";"2";"I";"x";"-";"1";"I";"";"";"";"Ü.n";"Bs";"di";"p";"Fr";"gH";"I";3;"";"";""
430;"Pleuridium nitidum";"M";"Pleuridium";"nitidum";"NISM";"3";"I";"";"";"3";"II";"Be Bg";"I";"4";"II";"2";"II";"";"";"";"";"L";"R.k";"-";"syn";"c";"So";"eK";"II";5;"";"";""
431;"Pleuridium subulatum";"M";"Pleuridium";"subulatum";"NISM";"4";"II";"";"";"4";"II";"Be";"I";"3";"II";"2";"II";"";"";"";"";"";"R.n?";"-";"aut";"c";"Fr-So";"gH";"II";5;"";"";"nom, tax"
432;"Pleurochaete squarrosa";"M";"Pleurochaete";"squarrosa";"NISM";"4";"I";"";"";"4";"II";"Be";"I";"2";"I";"5";"I";"";"";"";"";"";"R.n";"-";"di";"-";"";"eK";"II";3;"";"VU";""
433;"Pleurocladula albescens";"H";"Pleurocladula";"albescens";"NISM";"1";"I";"2";"I";"4";"I";"Be Bh";"I";"3";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"So";"eS";"II";1;"";"(VU)";""
434;"Pleurozium schreberi";"M";"Pleurozium";"schreberi";"NISM";"2";"II";"3";"I";"3";"I";"Be Bt";"I";"3";"II";"2";"I";"1";"I";"5";"II";"";"D.n";"-";"di";"p";"Wi";"gH";"II";1;"";"";""
435;"Pohlia annotina aggr.";"M";"Pohlia";"annotina aggr.";"";"1";"II";"";"";"4";"II";"Be Bg";"I";"x";"-";"2";"II";"";"";"";"";"";"R.n";"Bk";"di";"m";"Fr-So";"eS";"II";3;"";"(VU)";"nom"
436;"Pohlia cruda";"M";"Pohlia";"cruda";"NISM";"1";"II";"3";"I";"2";"II";"Be Gf";"I";"3";"II";"3";"II";"1";"I";"3";"II";"";"R.n";"-";"m/d";"m";"So";"gH";"II";1;"";"";""
